group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
abi_stable setup,,,,,1014989.0,ns,27545
abi_stable setup,,,,,1939488.0,ns,55090
abi_stable setup,,,,,2848036.0,ns,82635
abi_stable setup,,,,,4076129.0,ns,110180
abi_stable setup,,,,,5074690.0,ns,137725
abi_stable setup,,,,,6075502.0,ns,165270
abi_stable setup,,,,,7559431.0,ns,192815
abi_stable setup,,,,,8154478.0,ns,220360
abi_stable setup,,,,,9179515.0,ns,247905
abi_stable setup,,,,,9803950.0,ns,275450
abi_stable setup,,,,,10915319.0,ns,302995
abi_stable setup,,,,,11844774.0,ns,330540
abi_stable setup,,,,,13314201.0,ns,358085
abi_stable setup,,,,,14408880.0,ns,385630
abi_stable setup,,,,,15194318.0,ns,413175
abi_stable setup,,,,,15781050.0,ns,440720
abi_stable setup,,,,,16752747.0,ns,468265
abi_stable setup,,,,,17902544.0,ns,495810
abi_stable setup,,,,,18622887.0,ns,523355
abi_stable setup,,,,,19954526.0,ns,550900
abi_stable setup,,,,,20734477.0,ns,578445
abi_stable setup,,,,,22126061.0,ns,605990
abi_stable setup,,,,,22831303.0,ns,633535
abi_stable setup,,,,,24219247.0,ns,661080
abi_stable setup,,,,,25391761.0,ns,688625
abi_stable setup,,,,,26051240.0,ns,716170
abi_stable setup,,,,,27525383.0,ns,743715
abi_stable setup,,,,,27702939.0,ns,771260
abi_stable setup,,,,,28879692.0,ns,798805
abi_stable setup,,,,,31093933.0,ns,826350
abi_stable setup,,,,,31038576.0,ns,853895
abi_stable setup,,,,,31618052.0,ns,881440
abi_stable setup,,,,,32885878.0,ns,908985
abi_stable setup,,,,,33535673.0,ns,936530
abi_stable setup,,,,,34329285.0,ns,964075
abi_stable setup,,,,,35633588.0,ns,991620
abi_stable setup,,,,,36446060.0,ns,1019165
abi_stable setup,,,,,38193967.0,ns,1046710
abi_stable setup,,,,,38097993.0,ns,1074255
abi_stable setup,,,,,39081364.0,ns,1101800
abi_stable setup,,,,,41036432.0,ns,1129345
abi_stable setup,,,,,41259936.0,ns,1156890
abi_stable setup,,,,,43721228.0,ns,1184435
abi_stable setup,,,,,43234343.0,ns,1211980
abi_stable setup,,,,,44573726.0,ns,1239525
abi_stable setup,,,,,46583847.0,ns,1267070
abi_stable setup,,,,,46043487.0,ns,1294615
abi_stable setup,,,,,47499278.0,ns,1322160
abi_stable setup,,,,,48607358.0,ns,1349705
abi_stable setup,,,,,49886624.0,ns,1377250
abi_stable setup,,,,,49920982.0,ns,1404795
abi_stable setup,,,,,51529615.0,ns,1432340
abi_stable setup,,,,,51946564.0,ns,1459885
abi_stable setup,,,,,53388783.0,ns,1487430
abi_stable setup,,,,,54010702.0,ns,1514975
abi_stable setup,,,,,55139759.0,ns,1542520
abi_stable setup,,,,,56799953.0,ns,1570065
abi_stable setup,,,,,56878220.0,ns,1597610
abi_stable setup,,,,,57765197.0,ns,1625155
abi_stable setup,,,,,59773171.0,ns,1652700
abi_stable setup,,,,,59792741.0,ns,1680245
abi_stable setup,,,,,60752654.0,ns,1707790
abi_stable setup,,,,,62648920.0,ns,1735335
abi_stable setup,,,,,63134008.0,ns,1762880
abi_stable setup,,,,,65299270.0,ns,1790425
abi_stable setup,,,,,65937979.0,ns,1817970
abi_stable setup,,,,,66842772.0,ns,1845515
abi_stable setup,,,,,66865535.0,ns,1873060
abi_stable setup,,,,,69311493.0,ns,1900605
abi_stable setup,,,,,71509940.0,ns,1928150
abi_stable setup,,,,,69650014.0,ns,1955695
abi_stable setup,,,,,72594269.0,ns,1983240
abi_stable setup,,,,,72419806.0,ns,2010785
abi_stable setup,,,,,73088068.0,ns,2038330
abi_stable setup,,,,,74151821.0,ns,2065875
abi_stable setup,,,,,75003329.0,ns,2093420
abi_stable setup,,,,,76305148.0,ns,2120965
abi_stable setup,,,,,77383690.0,ns,2148510
abi_stable setup,,,,,79068895.0,ns,2176055
abi_stable setup,,,,,79328343.0,ns,2203600
abi_stable setup,,,,,81081352.0,ns,2231145
abi_stable setup,,,,,82078474.0,ns,2258690
abi_stable setup,,,,,82203616.0,ns,2286235
abi_stable setup,,,,,83596447.0,ns,2313780
abi_stable setup,,,,,84328523.0,ns,2341325
abi_stable setup,,,,,85260889.0,ns,2368870
abi_stable setup,,,,,86446378.0,ns,2396415
abi_stable setup,,,,,87682067.0,ns,2423960
abi_stable setup,,,,,88663393.0,ns,2451505
abi_stable setup,,,,,90484308.0,ns,2479050
abi_stable setup,,,,,90317885.0,ns,2506595
abi_stable setup,,,,,92574302.0,ns,2534140
abi_stable setup,,,,,92314995.0,ns,2561685
abi_stable setup,,,,,93594462.0,ns,2589230
abi_stable setup,,,,,94108347.0,ns,2616775
abi_stable setup,,,,,96864452.0,ns,2644320
abi_stable setup,,,,,97572050.0,ns,2671865
abi_stable setup,,,,,98414490.0,ns,2699410
abi_stable setup,,,,,98868814.0,ns,2726955
abi_stable setup,,,,,100004464.0,ns,2754500
