group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
abi_stable setup,,,,,1085548.0,ns,32268
abi_stable setup,,,,,2020049.0,ns,64536
abi_stable setup,,,,,3044252.0,ns,96804
abi_stable setup,,,,,4224859.0,ns,129072
abi_stable setup,,,,,4857890.0,ns,161340
abi_stable setup,,,,,5824097.0,ns,193608
abi_stable setup,,,,,7123638.0,ns,225876
abi_stable setup,,,,,7835069.0,ns,258144
abi_stable setup,,,,,9107694.0,ns,290412
abi_stable setup,,,,,9793567.0,ns,322680
abi_stable setup,,,,,10772266.0,ns,354948
abi_stable setup,,,,,11967966.0,ns,387216
abi_stable setup,,,,,12713968.0,ns,419484
abi_stable setup,,,,,13650025.0,ns,451752
abi_stable setup,,,,,14262801.0,ns,484020
abi_stable setup,,,,,15284655.0,ns,516288
abi_stable setup,,,,,16365690.0,ns,548556
abi_stable setup,,,,,17462136.0,ns,580824
abi_stable setup,,,,,19129812.0,ns,613092
abi_stable setup,,,,,19554476.0,ns,645360
abi_stable setup,,,,,20540787.0,ns,677628
abi_stable setup,,,,,21297420.0,ns,709896
abi_stable setup,,,,,23169690.0,ns,742164
abi_stable setup,,,,,23833622.0,ns,774432
abi_stable setup,,,,,24555975.0,ns,806700
abi_stable setup,,,,,25377411.0,ns,838968
abi_stable setup,,,,,26177208.0,ns,871236
abi_stable setup,,,,,27340024.0,ns,903504
abi_stable setup,,,,,28651519.0,ns,935772
abi_stable setup,,,,,29202244.0,ns,968040
abi_stable setup,,,,,29883772.0,ns,1000308
abi_stable setup,,,,,31004339.0,ns,1032576
abi_stable setup,,,,,32841841.0,ns,1064844
abi_stable setup,,,,,32819696.0,ns,1097112
abi_stable setup,,,,,34047761.0,ns,1129380
abi_stable setup,,,,,34676356.0,ns,1161648
abi_stable setup,,,,,35925044.0,ns,1193916
abi_stable setup,,,,,36841746.0,ns,1226184
abi_stable setup,,,,,37923835.0,ns,1258452
abi_stable setup,,,,,38849415.0,ns,1290720
abi_stable setup,,,,,39572849.0,ns,1322988
abi_stable setup,,,,,40917172.0,ns,1355256
abi_stable setup,,,,,41742742.0,ns,1387524
abi_stable setup,,,,,43339883.0,ns,1419792
abi_stable setup,,,,,43941589.0,ns,1452060
abi_stable setup,,,,,45253997.0,ns,1484328
abi_stable setup,,,,,45354825.0,ns,1516596
abi_stable setup,,,,,46184491.0,ns,1548864
abi_stable setup,,,,,47602877.0,ns,1581132
abi_stable setup,,,,,48187049.0,ns,1613400
abi_stable setup,,,,,48920657.0,ns,1645668
abi_stable setup,,,,,51020378.0,ns,1677936
abi_stable setup,,,,,52032330.0,ns,1710204
abi_stable setup,,,,,55171690.0,ns,1742472
abi_stable setup,,,,,56321587.0,ns,1774740
abi_stable setup,,,,,58110839.0,ns,1807008
abi_stable setup,,,,,58544893.0,ns,1839276
abi_stable setup,,,,,59412384.0,ns,1871544
abi_stable setup,,,,,60727333.0,ns,1903812
abi_stable setup,,,,,59638510.0,ns,1936080
abi_stable setup,,,,,60860022.0,ns,1968348
abi_stable setup,,,,,61666906.0,ns,2000616
abi_stable setup,,,,,62034059.0,ns,2032884
abi_stable setup,,,,,62864819.0,ns,2065152
abi_stable setup,,,,,63832313.0,ns,2097420
abi_stable setup,,,,,64348035.0,ns,2129688
abi_stable setup,,,,,65190340.0,ns,2161956
abi_stable setup,,,,,66694151.0,ns,2194224
abi_stable setup,,,,,67510986.0,ns,2226492
abi_stable setup,,,,,68660338.0,ns,2258760
abi_stable setup,,,,,68794821.0,ns,2291028
abi_stable setup,,,,,71761609.0,ns,2323296
abi_stable setup,,,,,71890419.0,ns,2355564
abi_stable setup,,,,,72516593.0,ns,2387832
abi_stable setup,,,,,73808979.0,ns,2420100
abi_stable setup,,,,,76193618.0,ns,2452368
abi_stable setup,,,,,76312176.0,ns,2484636
abi_stable setup,,,,,76299497.0,ns,2516904
abi_stable setup,,,,,78650186.0,ns,2549172
abi_stable setup,,,,,79991386.0,ns,2581440
abi_stable setup,,,,,78075741.0,ns,2613708
abi_stable setup,,,,,81170549.0,ns,2645976
abi_stable setup,,,,,81656822.0,ns,2678244
abi_stable setup,,,,,82498976.0,ns,2710512
abi_stable setup,,,,,83810925.0,ns,2742780
abi_stable setup,,,,,83910570.0,ns,2775048
abi_stable setup,,,,,83715760.0,ns,2807316
abi_stable setup,,,,,86732972.0,ns,2839584
abi_stable setup,,,,,87138094.0,ns,2871852
abi_stable setup,,,,,87955973.0,ns,2904120
abi_stable setup,,,,,89379504.0,ns,2936388
abi_stable setup,,,,,90542663.0,ns,2968656
abi_stable setup,,,,,90779748.0,ns,3000924
abi_stable setup,,,,,92449467.0,ns,3033192
abi_stable setup,,,,,94018925.0,ns,3065460
abi_stable setup,,,,,94249756.0,ns,3097728
abi_stable setup,,,,,94357490.0,ns,3129996
abi_stable setup,,,,,96293165.0,ns,3162264
abi_stable setup,,,,,96481632.0,ns,3194532
abi_stable setup,,,,,97879544.0,ns,3226800
