group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dynamic runtime,,,,,1050240.0,ns,529245
dynamic runtime,,,,,1931721.0,ns,1058490
dynamic runtime,,,,,2994776.0,ns,1587735
dynamic runtime,,,,,3934181.0,ns,2116980
dynamic runtime,,,,,5196078.0,ns,2646225
dynamic runtime,,,,,6173097.0,ns,3175470
dynamic runtime,,,,,7126240.0,ns,3704715
dynamic runtime,,,,,8095636.0,ns,4233960
dynamic runtime,,,,,9102111.0,ns,4763205
dynamic runtime,,,,,9795076.0,ns,5292450
dynamic runtime,,,,,10884124.0,ns,5821695
dynamic runtime,,,,,11775490.0,ns,6350940
dynamic runtime,,,,,12738135.0,ns,6880185
dynamic runtime,,,,,13595118.0,ns,7409430
dynamic runtime,,,,,15387132.0,ns,7938675
dynamic runtime,,,,,15568057.0,ns,8467920
dynamic runtime,,,,,16800679.0,ns,8997165
dynamic runtime,,,,,17617166.0,ns,9526410
dynamic runtime,,,,,18502247.0,ns,10055655
dynamic runtime,,,,,19891728.0,ns,10584900
dynamic runtime,,,,,20729695.0,ns,11114145
dynamic runtime,,,,,21873554.0,ns,11643390
dynamic runtime,,,,,22467024.0,ns,12172635
dynamic runtime,,,,,23883157.0,ns,12701880
dynamic runtime,,,,,24864320.0,ns,13231125
dynamic runtime,,,,,25779605.0,ns,13760370
dynamic runtime,,,,,27055478.0,ns,14289615
dynamic runtime,,,,,27407173.0,ns,14818860
dynamic runtime,,,,,29741512.0,ns,15348105
dynamic runtime,,,,,29773765.0,ns,15877350
dynamic runtime,,,,,31297141.0,ns,16406595
dynamic runtime,,,,,31611006.0,ns,16935840
dynamic runtime,,,,,32335582.0,ns,17465085
dynamic runtime,,,,,33241040.0,ns,17994330
dynamic runtime,,,,,35098892.0,ns,18523575
dynamic runtime,,,,,35767774.0,ns,19052820
dynamic runtime,,,,,36819777.0,ns,19582065
dynamic runtime,,,,,37032682.0,ns,20111310
dynamic runtime,,,,,38377718.0,ns,20640555
dynamic runtime,,,,,39340892.0,ns,21169800
dynamic runtime,,,,,40384893.0,ns,21699045
dynamic runtime,,,,,41361435.0,ns,22228290
dynamic runtime,,,,,41985577.0,ns,22757535
dynamic runtime,,,,,43414342.0,ns,23286780
dynamic runtime,,,,,44313779.0,ns,23816025
dynamic runtime,,,,,45280530.0,ns,24345270
dynamic runtime,,,,,46032882.0,ns,24874515
dynamic runtime,,,,,47194323.0,ns,25403760
dynamic runtime,,,,,48180331.0,ns,25933005
dynamic runtime,,,,,49908268.0,ns,26462250
dynamic runtime,,,,,50073729.0,ns,26991495
dynamic runtime,,,,,51143134.0,ns,27520740
dynamic runtime,,,,,52634340.0,ns,28049985
dynamic runtime,,,,,53164472.0,ns,28579230
dynamic runtime,,,,,53946528.0,ns,29108475
dynamic runtime,,,,,55794155.0,ns,29637720
dynamic runtime,,,,,56861834.0,ns,30166965
dynamic runtime,,,,,57288185.0,ns,30696210
dynamic runtime,,,,,57826762.0,ns,31225455
dynamic runtime,,,,,58886556.0,ns,31754700
dynamic runtime,,,,,59927760.0,ns,32283945
dynamic runtime,,,,,60977021.0,ns,32813190
dynamic runtime,,,,,62843954.0,ns,33342435
dynamic runtime,,,,,62815877.0,ns,33871680
dynamic runtime,,,,,63941391.0,ns,34400925
dynamic runtime,,,,,65510361.0,ns,34930170
dynamic runtime,,,,,65965765.0,ns,35459415
dynamic runtime,,,,,66531082.0,ns,35988660
dynamic runtime,,,,,67476572.0,ns,36517905
dynamic runtime,,,,,69643952.0,ns,37047150
dynamic runtime,,,,,70365861.0,ns,37576395
dynamic runtime,,,,,70973826.0,ns,38105640
dynamic runtime,,,,,71166935.0,ns,38634885
dynamic runtime,,,,,72857151.0,ns,39164130
dynamic runtime,,,,,73651023.0,ns,39693375
dynamic runtime,,,,,74514579.0,ns,40222620
dynamic runtime,,,,,76313414.0,ns,40751865
dynamic runtime,,,,,76431410.0,ns,41281110
dynamic runtime,,,,,77696075.0,ns,41810355
dynamic runtime,,,,,78954558.0,ns,42339600
dynamic runtime,,,,,79134244.0,ns,42868845
dynamic runtime,,,,,81484475.0,ns,43398090
dynamic runtime,,,,,82277256.0,ns,43927335
dynamic runtime,,,,,82623589.0,ns,44456580
dynamic runtime,,,,,83109253.0,ns,44985825
dynamic runtime,,,,,85734900.0,ns,45515070
dynamic runtime,,,,,85590474.0,ns,46044315
dynamic runtime,,,,,86505721.0,ns,46573560
dynamic runtime,,,,,86938088.0,ns,47102805
dynamic runtime,,,,,87842357.0,ns,47632050
dynamic runtime,,,,,90238132.0,ns,48161295
dynamic runtime,,,,,90280531.0,ns,48690540
dynamic runtime,,,,,91593574.0,ns,49219785
dynamic runtime,,,,,91573284.0,ns,49749030
dynamic runtime,,,,,94126797.0,ns,50278275
dynamic runtime,,,,,94741468.0,ns,50807520
dynamic runtime,,,,,94587791.0,ns,51336765
dynamic runtime,,,,,95794997.0,ns,51866010
dynamic runtime,,,,,96464204.0,ns,52395255
dynamic runtime,,,,,98862314.0,ns,52924500
