group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dynamic runtime,,,,,1160900.0,ns,528512
dynamic runtime,,,,,2030360.0,ns,1057024
dynamic runtime,,,,,2844343.0,ns,1585536
dynamic runtime,,,,,4058340.0,ns,2114048
dynamic runtime,,,,,5546964.0,ns,2642560
dynamic runtime,,,,,6137377.0,ns,3171072
dynamic runtime,,,,,7203750.0,ns,3699584
dynamic runtime,,,,,7921085.0,ns,4228096
dynamic runtime,,,,,8742265.0,ns,4756608
dynamic runtime,,,,,9696075.0,ns,5285120
dynamic runtime,,,,,11032912.0,ns,5813632
dynamic runtime,,,,,11700267.0,ns,6342144
dynamic runtime,,,,,12777952.0,ns,6870656
dynamic runtime,,,,,13625664.0,ns,7399168
dynamic runtime,,,,,14686610.0,ns,7927680
dynamic runtime,,,,,15890884.0,ns,8456192
dynamic runtime,,,,,16873408.0,ns,8984704
dynamic runtime,,,,,17849329.0,ns,9513216
dynamic runtime,,,,,18810265.0,ns,10041728
dynamic runtime,,,,,19730695.0,ns,10570240
dynamic runtime,,,,,21145897.0,ns,11098752
dynamic runtime,,,,,21666604.0,ns,11627264
dynamic runtime,,,,,23777770.0,ns,12155776
dynamic runtime,,,,,23871097.0,ns,12684288
dynamic runtime,,,,,24690914.0,ns,13212800
dynamic runtime,,,,,25697413.0,ns,13741312
dynamic runtime,,,,,26812195.0,ns,14269824
dynamic runtime,,,,,28479153.0,ns,14798336
dynamic runtime,,,,,28613709.0,ns,15326848
dynamic runtime,,,,,30228734.0,ns,15855360
dynamic runtime,,,,,30470976.0,ns,16383872
dynamic runtime,,,,,31455848.0,ns,16912384
dynamic runtime,,,,,33014382.0,ns,17440896
dynamic runtime,,,,,34670183.0,ns,17969408
dynamic runtime,,,,,34470701.0,ns,18497920
dynamic runtime,,,,,35721668.0,ns,19026432
dynamic runtime,,,,,36558343.0,ns,19554944
dynamic runtime,,,,,37840388.0,ns,20083456
dynamic runtime,,,,,38214920.0,ns,20611968
dynamic runtime,,,,,39837741.0,ns,21140480
dynamic runtime,,,,,40581803.0,ns,21668992
dynamic runtime,,,,,42967188.0,ns,22197504
dynamic runtime,,,,,42352224.0,ns,22726016
dynamic runtime,,,,,43542123.0,ns,23254528
dynamic runtime,,,,,43696879.0,ns,23783040
dynamic runtime,,,,,45931555.0,ns,24311552
dynamic runtime,,,,,45980147.0,ns,24840064
dynamic runtime,,,,,48671313.0,ns,25368576
dynamic runtime,,,,,48553904.0,ns,25897088
dynamic runtime,,,,,49575276.0,ns,26425600
dynamic runtime,,,,,50407180.0,ns,26954112
dynamic runtime,,,,,51157600.0,ns,27482624
dynamic runtime,,,,,52511443.0,ns,28011136
dynamic runtime,,,,,53415858.0,ns,28539648
dynamic runtime,,,,,54723815.0,ns,29068160
dynamic runtime,,,,,55654150.0,ns,29596672
dynamic runtime,,,,,56315936.0,ns,30125184
dynamic runtime,,,,,57649136.0,ns,30653696
dynamic runtime,,,,,59421242.0,ns,31182208
dynamic runtime,,,,,60403973.0,ns,31710720
dynamic runtime,,,,,61439721.0,ns,32239232
dynamic runtime,,,,,63161735.0,ns,32767744
dynamic runtime,,,,,63012290.0,ns,33296256
dynamic runtime,,,,,64117846.0,ns,33824768
dynamic runtime,,,,,64770019.0,ns,34353280
dynamic runtime,,,,,64606249.0,ns,34881792
dynamic runtime,,,,,65591313.0,ns,35410304
dynamic runtime,,,,,66930400.0,ns,35938816
dynamic runtime,,,,,67860422.0,ns,36467328
dynamic runtime,,,,,69721879.0,ns,36995840
dynamic runtime,,,,,70297332.0,ns,37524352
dynamic runtime,,,,,70971776.0,ns,38052864
dynamic runtime,,,,,71709777.0,ns,38581376
dynamic runtime,,,,,72736826.0,ns,39109888
dynamic runtime,,,,,74300435.0,ns,39638400
dynamic runtime,,,,,76145072.0,ns,40166912
dynamic runtime,,,,,76799865.0,ns,40695424
dynamic runtime,,,,,78789443.0,ns,41223936
dynamic runtime,,,,,80312519.0,ns,41752448
dynamic runtime,,,,,81706128.0,ns,42280960
dynamic runtime,,,,,85210959.0,ns,42809472
dynamic runtime,,,,,82012082.0,ns,43337984
dynamic runtime,,,,,82859500.0,ns,43866496
dynamic runtime,,,,,82828887.0,ns,44395008
dynamic runtime,,,,,83834650.0,ns,44923520
dynamic runtime,,,,,84368548.0,ns,45452032
dynamic runtime,,,,,86756479.0,ns,45980544
dynamic runtime,,,,,86673637.0,ns,46509056
dynamic runtime,,,,,88331514.0,ns,47037568
dynamic runtime,,,,,89691804.0,ns,47566080
dynamic runtime,,,,,90665723.0,ns,48094592
dynamic runtime,,,,,92223332.0,ns,48623104
dynamic runtime,,,,,93133017.0,ns,49151616
dynamic runtime,,,,,94734493.0,ns,49680128
dynamic runtime,,,,,94003605.0,ns,50208640
dynamic runtime,,,,,94780136.0,ns,50737152
dynamic runtime,,,,,97282480.0,ns,51265664
dynamic runtime,,,,,99383791.0,ns,51794176
dynamic runtime,,,,,100019062.0,ns,52322688
dynamic runtime,,,,,101243846.0,ns,52851200
