group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dynamic setup,,,,,1025273.0,ns,145
dynamic setup,,,,,1937148.0,ns,290
dynamic setup,,,,,2964283.0,ns,435
dynamic setup,,,,,3746465.0,ns,580
dynamic setup,,,,,5404912.0,ns,725
dynamic setup,,,,,7560634.0,ns,870
dynamic setup,,,,,7274883.0,ns,1015
dynamic setup,,,,,8173690.0,ns,1160
dynamic setup,,,,,8695348.0,ns,1305
dynamic setup,,,,,10143107.0,ns,1450
dynamic setup,,,,,11069029.0,ns,1595
dynamic setup,,,,,11771831.0,ns,1740
dynamic setup,,,,,12856523.0,ns,1885
dynamic setup,,,,,13776641.0,ns,2030
dynamic setup,,,,,15018790.0,ns,2175
dynamic setup,,,,,16456960.0,ns,2320
dynamic setup,,,,,16842925.0,ns,2465
dynamic setup,,,,,17338380.0,ns,2610
dynamic setup,,,,,18774611.0,ns,2755
dynamic setup,,,,,19933297.0,ns,2900
dynamic setup,,,,,20995068.0,ns,3045
dynamic setup,,,,,22134435.0,ns,3190
dynamic setup,,,,,22315440.0,ns,3335
dynamic setup,,,,,24395980.0,ns,3480
dynamic setup,,,,,24373605.0,ns,3625
dynamic setup,,,,,25960505.0,ns,3770
dynamic setup,,,,,26419833.0,ns,3915
dynamic setup,,,,,28252378.0,ns,4060
dynamic setup,,,,,28687775.0,ns,4205
dynamic setup,,,,,29261811.0,ns,4350
dynamic setup,,,,,31544554.0,ns,4495
dynamic setup,,,,,32165721.0,ns,4640
dynamic setup,,,,,32460428.0,ns,4785
dynamic setup,,,,,33234200.0,ns,4930
dynamic setup,,,,,35063159.0,ns,5075
dynamic setup,,,,,35194639.0,ns,5220
dynamic setup,,,,,37654770.0,ns,5365
dynamic setup,,,,,37758203.0,ns,5510
dynamic setup,,,,,38046066.0,ns,5655
dynamic setup,,,,,39374272.0,ns,5800
dynamic setup,,,,,40495922.0,ns,5945
dynamic setup,,,,,46235544.0,ns,6090
dynamic setup,,,,,42477920.0,ns,6235
dynamic setup,,,,,45244385.0,ns,6380
dynamic setup,,,,,45473465.0,ns,6525
dynamic setup,,,,,45284522.0,ns,6670
dynamic setup,,,,,47606875.0,ns,6815
dynamic setup,,,,,47052749.0,ns,6960
dynamic setup,,,,,48033361.0,ns,7105
dynamic setup,,,,,49861649.0,ns,7250
dynamic setup,,,,,50134780.0,ns,7395
dynamic setup,,,,,50819377.0,ns,7540
dynamic setup,,,,,52156273.0,ns,7685
dynamic setup,,,,,54126319.0,ns,7830
dynamic setup,,,,,54183750.0,ns,7975
dynamic setup,,,,,54835368.0,ns,8120
dynamic setup,,,,,57074497.0,ns,8265
dynamic setup,,,,,56764442.0,ns,8410
dynamic setup,,,,,57754586.0,ns,8555
dynamic setup,,,,,58459299.0,ns,8700
dynamic setup,,,,,60886361.0,ns,8845
dynamic setup,,,,,61070414.0,ns,8990
dynamic setup,,,,,63201197.0,ns,9135
dynamic setup,,,,,63534216.0,ns,9280
dynamic setup,,,,,65249550.0,ns,9425
dynamic setup,,,,,65819237.0,ns,9570
dynamic setup,,,,,66107230.0,ns,9715
dynamic setup,,,,,66673122.0,ns,9860
dynamic setup,,,,,68038502.0,ns,10005
dynamic setup,,,,,69239090.0,ns,10150
dynamic setup,,,,,70325554.0,ns,10295
dynamic setup,,,,,70669165.0,ns,10440
dynamic setup,,,,,71672170.0,ns,10585
dynamic setup,,,,,72825483.0,ns,10730
dynamic setup,,,,,73793256.0,ns,10875
dynamic setup,,,,,74816153.0,ns,11020
dynamic setup,,,,,77273120.0,ns,11165
dynamic setup,,,,,76670954.0,ns,11310
dynamic setup,,,,,78609890.0,ns,11455
dynamic setup,,,,,78401906.0,ns,11600
dynamic setup,,,,,79770955.0,ns,11745
dynamic setup,,,,,81163822.0,ns,11890
dynamic setup,,,,,82018958.0,ns,12035
dynamic setup,,,,,83806532.0,ns,12180
dynamic setup,,,,,84607998.0,ns,12325
dynamic setup,,,,,85392120.0,ns,12470
dynamic setup,,,,,86078732.0,ns,12615
dynamic setup,,,,,87638038.0,ns,12760
dynamic setup,,,,,88153388.0,ns,12905
dynamic setup,,,,,89296414.0,ns,13050
dynamic setup,,,,,90591532.0,ns,13195
dynamic setup,,,,,91411291.0,ns,13340
dynamic setup,,,,,91557454.0,ns,13485
dynamic setup,,,,,92260773.0,ns,13630
dynamic setup,,,,,94639156.0,ns,13775
dynamic setup,,,,,95161627.0,ns,13920
dynamic setup,,,,,94908209.0,ns,14065
dynamic setup,,,,,95887951.0,ns,14210
dynamic setup,,,,,97464553.0,ns,14355
dynamic setup,,,,,99626614.0,ns,14500
