group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dynamic setup,,,,,1173710.0,ns,1502
dynamic setup,,,,,2004625.0,ns,3004
dynamic setup,,,,,2940390.0,ns,4506
dynamic setup,,,,,3909822.0,ns,6008
dynamic setup,,,,,5383667.0,ns,7510
dynamic setup,,,,,5964730.0,ns,9012
dynamic setup,,,,,7136674.0,ns,10514
dynamic setup,,,,,7903294.0,ns,12016
dynamic setup,,,,,9084812.0,ns,13518
dynamic setup,,,,,9882933.0,ns,15020
dynamic setup,,,,,10744870.0,ns,16522
dynamic setup,,,,,11791392.0,ns,18024
dynamic setup,,,,,12829596.0,ns,19526
dynamic setup,,,,,13921846.0,ns,21028
dynamic setup,,,,,14732639.0,ns,22530
dynamic setup,,,,,15649322.0,ns,24032
dynamic setup,,,,,16527127.0,ns,25534
dynamic setup,,,,,17426100.0,ns,27036
dynamic setup,,,,,18771328.0,ns,28538
dynamic setup,,,,,19866659.0,ns,30040
dynamic setup,,,,,20404726.0,ns,31542
dynamic setup,,,,,21334346.0,ns,33044
dynamic setup,,,,,22261311.0,ns,34546
dynamic setup,,,,,23304834.0,ns,36048
dynamic setup,,,,,24746192.0,ns,37550
dynamic setup,,,,,27247546.0,ns,39052
dynamic setup,,,,,26139280.0,ns,40554
dynamic setup,,,,,27244820.0,ns,42056
dynamic setup,,,,,28486566.0,ns,43558
dynamic setup,,,,,29193942.0,ns,45060
dynamic setup,,,,,30547425.0,ns,46562
dynamic setup,,,,,31701494.0,ns,48064
dynamic setup,,,,,32183813.0,ns,49566
dynamic setup,,,,,32874439.0,ns,51068
dynamic setup,,,,,34482326.0,ns,52570
dynamic setup,,,,,34708530.0,ns,54072
dynamic setup,,,,,36288721.0,ns,55574
dynamic setup,,,,,37225021.0,ns,57076
dynamic setup,,,,,38215648.0,ns,58578
dynamic setup,,,,,39799092.0,ns,60080
dynamic setup,,,,,39871433.0,ns,61582
dynamic setup,,,,,41342167.0,ns,63084
dynamic setup,,,,,42267503.0,ns,64586
dynamic setup,,,,,42960591.0,ns,66088
dynamic setup,,,,,44011851.0,ns,67590
dynamic setup,,,,,44815661.0,ns,69092
dynamic setup,,,,,46069225.0,ns,70594
dynamic setup,,,,,46575914.0,ns,72096
dynamic setup,,,,,49786179.0,ns,73598
dynamic setup,,,,,48553069.0,ns,75100
dynamic setup,,,,,50079195.0,ns,76602
dynamic setup,,,,,50937334.0,ns,78104
dynamic setup,,,,,51504583.0,ns,79606
dynamic setup,,,,,53416269.0,ns,81108
dynamic setup,,,,,53299770.0,ns,82610
dynamic setup,,,,,55857379.0,ns,84112
dynamic setup,,,,,55528887.0,ns,85614
dynamic setup,,,,,57326233.0,ns,87116
dynamic setup,,,,,59721486.0,ns,88618
dynamic setup,,,,,57874904.0,ns,90120
dynamic setup,,,,,59285620.0,ns,91622
dynamic setup,,,,,60187111.0,ns,93124
dynamic setup,,,,,61961249.0,ns,94626
dynamic setup,,,,,62303617.0,ns,96128
dynamic setup,,,,,63732417.0,ns,97630
dynamic setup,,,,,64015212.0,ns,99132
dynamic setup,,,,,65683927.0,ns,100634
dynamic setup,,,,,65775035.0,ns,102136
dynamic setup,,,,,68060429.0,ns,103638
dynamic setup,,,,,68563810.0,ns,105140
dynamic setup,,,,,69562799.0,ns,106642
dynamic setup,,,,,70849578.0,ns,108144
dynamic setup,,,,,71136868.0,ns,109646
dynamic setup,,,,,73778945.0,ns,111148
dynamic setup,,,,,73450784.0,ns,112650
dynamic setup,,,,,73833402.0,ns,114152
dynamic setup,,,,,74840444.0,ns,115654
dynamic setup,,,,,77298634.0,ns,117156
dynamic setup,,,,,77634016.0,ns,118658
dynamic setup,,,,,78077943.0,ns,120160
dynamic setup,,,,,81321552.0,ns,121662
dynamic setup,,,,,82407904.0,ns,123164
dynamic setup,,,,,81452142.0,ns,124666
dynamic setup,,,,,82567481.0,ns,126168
dynamic setup,,,,,83688990.0,ns,127670
dynamic setup,,,,,84313147.0,ns,129172
dynamic setup,,,,,90767414.0,ns,130674
dynamic setup,,,,,87957553.0,ns,132176
dynamic setup,,,,,88268818.0,ns,133678
dynamic setup,,,,,87924984.0,ns,135180
dynamic setup,,,,,89437018.0,ns,136682
dynamic setup,,,,,89315036.0,ns,138184
dynamic setup,,,,,92589137.0,ns,139686
dynamic setup,,,,,91903046.0,ns,141188
dynamic setup,,,,,93636378.0,ns,142690
dynamic setup,,,,,94454783.0,ns,144192
dynamic setup,,,,,95511619.0,ns,145694
dynamic setup,,,,,94995682.0,ns,147196
dynamic setup,,,,,96614937.0,ns,148698
dynamic setup,,,,,97685131.0,ns,150200
