group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wasmer simple,,,,,1809777.0,ns,2
wasmer simple,,,,,3790522.0,ns,4
wasmer simple,,,,,5690216.0,ns,6
wasmer simple,,,,,7150752.0,ns,8
wasmer simple,,,,,9029401.0,ns,10
wasmer simple,,,,,10732908.0,ns,12
wasmer simple,,,,,12731338.0,ns,14
wasmer simple,,,,,14183234.0,ns,16
wasmer simple,,,,,16350924.0,ns,18
wasmer simple,,,,,17104564.0,ns,20
wasmer simple,,,,,19585063.0,ns,22
wasmer simple,,,,,20787267.0,ns,24
wasmer simple,,,,,22801014.0,ns,26
wasmer simple,,,,,24405763.0,ns,28
wasmer simple,,,,,26643431.0,ns,30
wasmer simple,,,,,28523856.0,ns,32
wasmer simple,,,,,37482691.0,ns,34
wasmer simple,,,,,32262636.0,ns,36
wasmer simple,,,,,32196041.0,ns,38
wasmer simple,,,,,40882308.0,ns,40
wasmer simple,,,,,39978200.0,ns,42
wasmer simple,,,,,40981679.0,ns,44
wasmer simple,,,,,40908268.0,ns,46
wasmer simple,,,,,45641580.0,ns,48
wasmer simple,,,,,46270146.0,ns,50
wasmer simple,,,,,49017034.0,ns,52
wasmer simple,,,,,48384347.0,ns,54
wasmer simple,,,,,49334855.0,ns,56
wasmer simple,,,,,51909876.0,ns,58
wasmer simple,,,,,52612040.0,ns,60
wasmer simple,,,,,53523976.0,ns,62
wasmer simple,,,,,57122398.0,ns,64
wasmer simple,,,,,61423456.0,ns,66
wasmer simple,,,,,63584833.0,ns,68
wasmer simple,,,,,62401489.0,ns,70
wasmer simple,,,,,68023070.0,ns,72
wasmer simple,,,,,69658093.0,ns,74
wasmer simple,,,,,73679253.0,ns,76
wasmer simple,,,,,73984912.0,ns,78
wasmer simple,,,,,71975746.0,ns,80
wasmer simple,,,,,70655929.0,ns,82
wasmer simple,,,,,78451854.0,ns,84
wasmer simple,,,,,78139236.0,ns,86
wasmer simple,,,,,79320802.0,ns,88
wasmer simple,,,,,81617366.0,ns,90
wasmer simple,,,,,79432800.0,ns,92
wasmer simple,,,,,81480225.0,ns,94
wasmer simple,,,,,82216526.0,ns,96
wasmer simple,,,,,85104721.0,ns,98
wasmer simple,,,,,88111580.0,ns,100
wasmer simple,,,,,86191802.0,ns,102
wasmer simple,,,,,90099244.0,ns,104
wasmer simple,,,,,91462873.0,ns,106
wasmer simple,,,,,95110516.0,ns,108
wasmer simple,,,,,96998943.0,ns,110
wasmer simple,,,,,92315270.0,ns,112
wasmer simple,,,,,97634741.0,ns,114
wasmer simple,,,,,108828792.0,ns,116
wasmer simple,,,,,112323795.0,ns,118
wasmer simple,,,,,115921360.0,ns,120
wasmer simple,,,,,117191225.0,ns,122
wasmer simple,,,,,118581124.0,ns,124
wasmer simple,,,,,115705118.0,ns,126
wasmer simple,,,,,118151606.0,ns,128
wasmer simple,,,,,133250347.0,ns,130
wasmer simple,,,,,128196814.0,ns,132
wasmer simple,,,,,124356410.0,ns,134
wasmer simple,,,,,124152612.0,ns,136
wasmer simple,,,,,119545173.0,ns,138
wasmer simple,,,,,119046592.0,ns,140
wasmer simple,,,,,121731286.0,ns,142
wasmer simple,,,,,126558520.0,ns,144
wasmer simple,,,,,135809613.0,ns,146
wasmer simple,,,,,136129066.0,ns,148
wasmer simple,,,,,153021621.0,ns,150
wasmer simple,,,,,138479795.0,ns,152
wasmer simple,,,,,132478275.0,ns,154
wasmer simple,,,,,145484466.0,ns,156
wasmer simple,,,,,148603979.0,ns,158
wasmer simple,,,,,143956934.0,ns,160
wasmer simple,,,,,140005043.0,ns,162
wasmer simple,,,,,137516298.0,ns,164
wasmer simple,,,,,142306202.0,ns,166
wasmer simple,,,,,159896708.0,ns,168
wasmer simple,,,,,157125709.0,ns,170
wasmer simple,,,,,158029789.0,ns,172
wasmer simple,,,,,153966569.0,ns,174
wasmer simple,,,,,161014007.0,ns,176
wasmer simple,,,,,177347164.0,ns,178
wasmer simple,,,,,159584449.0,ns,180
wasmer simple,,,,,161071779.0,ns,182
wasmer simple,,,,,155885850.0,ns,184
wasmer simple,,,,,150665900.0,ns,186
wasmer simple,,,,,155147303.0,ns,188
wasmer simple,,,,,171452694.0,ns,190
wasmer simple,,,,,166021175.0,ns,192
wasmer simple,,,,,169550814.0,ns,194
wasmer simple,,,,,167455619.0,ns,196
wasmer simple,,,,,171495811.0,ns,198
wasmer simple,,,,,188372125.0,ns,200
