group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wasmtime simple,,,,,1902833.0,ns,2
wasmtime simple,,,,,3586628.0,ns,4
wasmtime simple,,,,,4981205.0,ns,6
wasmtime simple,,,,,13730310.0,ns,8
wasmtime simple,,,,,9378325.0,ns,10
wasmtime simple,,,,,10934237.0,ns,12
wasmtime simple,,,,,12497059.0,ns,14
wasmtime simple,,,,,15342443.0,ns,16
wasmtime simple,,,,,16519804.0,ns,18
wasmtime simple,,,,,17801337.0,ns,20
wasmtime simple,,,,,19426828.0,ns,22
wasmtime simple,,,,,22206273.0,ns,24
wasmtime simple,,,,,22856377.0,ns,26
wasmtime simple,,,,,24949219.0,ns,28
wasmtime simple,,,,,26081344.0,ns,30
wasmtime simple,,,,,28468114.0,ns,32
wasmtime simple,,,,,29733294.0,ns,34
wasmtime simple,,,,,31764601.0,ns,36
wasmtime simple,,,,,34316039.0,ns,38
wasmtime simple,,,,,36747366.0,ns,40
wasmtime simple,,,,,37722793.0,ns,42
wasmtime simple,,,,,39227056.0,ns,44
wasmtime simple,,,,,44049362.0,ns,46
wasmtime simple,,,,,42939933.0,ns,48
wasmtime simple,,,,,44858411.0,ns,50
wasmtime simple,,,,,46332410.0,ns,52
wasmtime simple,,,,,51802234.0,ns,54
wasmtime simple,,,,,50790645.0,ns,56
wasmtime simple,,,,,50951397.0,ns,58
wasmtime simple,,,,,53954377.0,ns,60
wasmtime simple,,,,,54183951.0,ns,62
wasmtime simple,,,,,57776044.0,ns,64
wasmtime simple,,,,,58014081.0,ns,66
wasmtime simple,,,,,61166287.0,ns,68
wasmtime simple,,,,,63217137.0,ns,70
wasmtime simple,,,,,64775195.0,ns,72
wasmtime simple,,,,,66278298.0,ns,74
wasmtime simple,,,,,67911742.0,ns,76
wasmtime simple,,,,,69925633.0,ns,78
wasmtime simple,,,,,70313634.0,ns,80
wasmtime simple,,,,,73078384.0,ns,82
wasmtime simple,,,,,76032222.0,ns,84
wasmtime simple,,,,,78187513.0,ns,86
wasmtime simple,,,,,80886685.0,ns,88
wasmtime simple,,,,,78469777.0,ns,90
wasmtime simple,,,,,81437368.0,ns,92
wasmtime simple,,,,,109852450.0,ns,94
wasmtime simple,,,,,96649378.0,ns,96
wasmtime simple,,,,,93097909.0,ns,98
wasmtime simple,,,,,100494244.0,ns,100
wasmtime simple,,,,,101780838.0,ns,102
wasmtime simple,,,,,93758706.0,ns,104
wasmtime simple,,,,,96073823.0,ns,106
wasmtime simple,,,,,98222473.0,ns,108
wasmtime simple,,,,,98750324.0,ns,110
wasmtime simple,,,,,97986906.0,ns,112
wasmtime simple,,,,,101602177.0,ns,114
wasmtime simple,,,,,104276722.0,ns,116
wasmtime simple,,,,,106114596.0,ns,118
wasmtime simple,,,,,105724664.0,ns,120
wasmtime simple,,,,,108629491.0,ns,122
wasmtime simple,,,,,112721232.0,ns,124
wasmtime simple,,,,,111357875.0,ns,126
wasmtime simple,,,,,110985166.0,ns,128
wasmtime simple,,,,,115372910.0,ns,130
wasmtime simple,,,,,120509786.0,ns,132
wasmtime simple,,,,,121983465.0,ns,134
wasmtime simple,,,,,122187984.0,ns,136
wasmtime simple,,,,,122473419.0,ns,138
wasmtime simple,,,,,125411601.0,ns,140
wasmtime simple,,,,,125850724.0,ns,142
wasmtime simple,,,,,126420340.0,ns,144
wasmtime simple,,,,,129093545.0,ns,146
wasmtime simple,,,,,134669284.0,ns,148
wasmtime simple,,,,,138706953.0,ns,150
wasmtime simple,,,,,141017273.0,ns,152
wasmtime simple,,,,,139044841.0,ns,154
wasmtime simple,,,,,139767506.0,ns,156
wasmtime simple,,,,,143078778.0,ns,158
wasmtime simple,,,,,139458462.0,ns,160
wasmtime simple,,,,,142204910.0,ns,162
wasmtime simple,,,,,145447550.0,ns,164
wasmtime simple,,,,,148486128.0,ns,166
wasmtime simple,,,,,150278209.0,ns,168
wasmtime simple,,,,,153047889.0,ns,170
wasmtime simple,,,,,152842716.0,ns,172
wasmtime simple,,,,,155016359.0,ns,174
wasmtime simple,,,,,157260245.0,ns,176
wasmtime simple,,,,,162588911.0,ns,178
wasmtime simple,,,,,162243243.0,ns,180
wasmtime simple,,,,,166172475.0,ns,182
wasmtime simple,,,,,167214723.0,ns,184
wasmtime simple,,,,,158069111.0,ns,186
wasmtime simple,,,,,165003685.0,ns,188
wasmtime simple,,,,,170349912.0,ns,190
wasmtime simple,,,,,170147112.0,ns,192
wasmtime simple,,,,,169399827.0,ns,194
wasmtime simple,,,,,174557959.0,ns,196
wasmtime simple,,,,,176988505.0,ns,198
wasmtime simple,,,,,176702858.0,ns,200
